Index,Baseline,Length
0,1-2,29.96308850415012
1,1-3,36.73605199238245
2,1-4,36.1550098209991
3,1-5,80.45009547151723
4,1-6,175.9868814700747
5,1-7,266.70419688654454
6,1-8,241.5809460578133
7,1-9,268.16962042322126
8,1-10,295.73947580708017
9,1-11,433.4843273020296
10,1-12,479.11374861712596
11,1-13,570.2844396653336
12,1-14,460.85693713208536
13,1-15,756.6745946838353
14,1-16,733.8946189019223
15,1-17,721.2855605722043
16,1-18,390.547014059208
17,1-19,528.6953763888615
18,1-20,596.5525576043162
19,1-21,758.2582273188908
20,1-22,910.4753550896335
21,1-23,657.2593772096612
22,1-24,982.0410141539511
23,1-25,896.7794289822438
24,1-26,775.0702002976261
25,1-27,1425.8216047329013
26,1-28,1224.7291481600807
27,1-29,942.487951518124
28,1-30,1466.2129125646964
29,1-31,2433.759724259139
30,1-32,3930.309763865625
31,1-33,2812.1546214287905
32,1-34,3590.0535696833263
33,1-35,2388.2262802433816
34,1-36,3191.3762179005043
35,2-3,22.386872390116917
36,2-4,60.01241963717009
37,2-5,110.38921937048723
38,2-6,165.71234485256753
39,2-7,236.7509497575808
40,2-8,234.71156334586132
41,2-9,298.1247591482316
42,2-10,317.5516649189211
43,2-11,428.0258117109862
44,2-12,464.8510869453152
45,2-13,541.251314828199
46,2-14,450.16636112572627
47,2-15,780.5649536644017
48,2-16,763.7829605108378
49,2-17,749.3897074856608
50,2-18,411.0594334686636
51,2-19,530.2781589080931
52,2-20,581.0651396165043
53,2-21,739.721367456201
54,2-22,890.4715715590927
55,2-23,644.8380981188094
56,2-24,967.2551010801513
57,2-25,924.8045416298578
58,2-26,800.1586110729039
59,2-27,1454.7076009176424
60,2-28,1232.3084913132327
61,2-29,937.1433467723963
62,2-30,1450.8983196088739
63,2-31,2414.543008814833
64,2-32,3901.231336786371
65,2-33,2799.027910463372
66,2-34,3605.2405692589127
67,2-35,2418.183216689488
68,2-36,3204.3098049873106
69,3-4,52.70659142567057
70,3-5,112.57701813944382
71,3-6,144.50063221645732
72,3-7,238.0218436793723
73,3-8,256.9185514843894
74,3-9,298.62910466013113
75,3-10,302.57518983788304
76,3-11,406.04500588208793
77,3-12,445.38838747444413
78,3-13,548.1447724760706
79,3-14,471.6181662570519
80,3-15,793.4102048866323
81,3-16,761.7375598610153
82,3-17,741.294595996657
83,3-18,394.88074028338747
84,3-19,507.91415512789916
85,3-20,562.200509435526
86,3-21,722.5679010217355
87,3-22,874.3085546890394
88,3-23,665.7626532716856
89,3-24,987.3080532798917
90,3-25,916.4708120085809
91,3-26,787.6414463133327
92,3-27,1448.1845126883982
93,3-28,1210.5253793866677
94,3-29,915.2156770740667
95,3-30,1432.0344370811881
96,3-31,2397.882539409107
97,3-32,3907.50685140693
98,3-33,2819.55728166295
99,3-34,3624.0845506325645
100,3-35,2417.9127997168357
101,3-36,3183.8241848832677
102,4-5,65.1323908866776
103,4-6,163.91707621543821
104,4-7,290.7046742525508
105,4-8,275.13878957062997
106,4-9,247.1579195718895
107,4-10,259.7187829321899
108,4-11,412.5165705895963
109,4-12,468.0710714606875
110,4-13,599.9348655262764
111,4-14,495.4616262074919
112,4-15,756.0690639950417
113,4-16,709.1333579315158
114,4-17,689.9410113329552
115,4-18,354.4054581771964
116,4-19,500.99950903051973
117,4-20,586.6922043610002
118,4-21,752.350647081911
119,4-22,906.6044463830872
120,4-23,692.3298668898673
121,4-24,1017.6870107056728
122,4-25,865.2755134169523
123,4-26,740.4055096056825
124,4-27,1396.1023622035636
125,4-28,1192.3833387712702
126,4-29,920.3174687963556
127,4-30,1455.0695233411748
128,4-31,2427.9270334829534
129,4-32,3959.630512676247
130,4-33,2847.267820211582
131,4-34,3602.3539077127557
132,4-35,2365.6578016887347
133,4-36,3156.4346342222148
134,5-6,224.66068883036567
135,5-7,347.1383569922906
136,5-8,272.53089999942415
137,5-9,187.7487879229453
138,5-10,249.09124637110943
139,5-11,461.0762318068327
140,5-12,526.9403075696171
141,5-13,647.7823922382235
142,5-14,494.15097136107937
143,5-15,692.418283619831
144,5-16,654.0824922461644
145,5-17,648.2287146741169
146,5-18,345.6980022356196
147,5-19,536.5508255346238
148,5-20,646.1177137745858
149,5-21,814.0907114063119
150,5-22,969.2880461802886
151,5-23,692.6646910352396
152,5-24,1021.8602424084723
153,5-25,823.7742096916851
154,5-26,711.9444947514801
155,5-27,1349.6548095110109
156,5-28,1211.5493577403863
157,5-29,964.9224803279263
158,5-30,1512.589112004229
159,5-31,2489.1693038110407
160,5-32,4007.4769863376555
161,5-33,2845.282967975834
162,5-34,3546.9584140778384
163,5-35,2307.8053388478847
164,5-36,3161.2729446217245
165,6-7,246.60414042058238
166,6-8,391.2370848490649
167,6-9,380.018440768383
168,6-10,286.23520590631665
169,6-11,264.16758869713163
170,6-12,304.314973825686
171,6-13,564.5091691423709
172,6-14,594.333069954432
173,6-15,916.403136186161
174,6-16,812.6342789171208
175,6-17,754.3144617333653
176,6-18,358.2107594345025
177,6-19,378.68760287104374
178,6-20,422.78356774725466
179,6-21,589.4304026415074
180,6-22,744.9493413224012
181,6-23,781.304081615573
182,6-24,1092.4404149768382
183,6-25,924.8249633022238
184,6-26,767.3797480847205
185,6-27,1464.1278550958739
186,6-28,1092.9054241291
187,6-29,772.4897544011899
188,6-30,1291.5238997881943
189,6-31,2264.620792243225
190,6-32,3901.1490969845822
191,6-33,2926.1801133856584
192,6-34,3765.2570888543314
193,6-35,2470.117924484818
194,6-36,3081.3021702483857
195,7-8,308.81830438972355
196,7-9,534.8738159878033
197,7-10,516.6590784947604
198,7-11,451.39032998872216
199,7-12,409.3217395360471
200,7-13,320.8875942658804
201,7-14,440.84388978756834
202,7-15,984.1094710498783
203,7-16,999.693489641861
204,7-17,973.6041464240437
205,7-18,598.519735625807
206,7-19,592.2572160290622
207,7-20,500.2340753608283
208,7-21,619.2157623343572
209,7-22,750.2660023076556
210,7-23,599.0318092980998
211,7-24,884.3020525763436
212,7-25,1147.8130812107358
213,7-26,1004.9872392814543
214,7-27,1682.7351317307453
215,7-28,1309.0113860283868
216,7-29,922.0214552960977
217,7-30,1341.358292058147
218,7-31,2265.681919855001
219,7-32,3673.7170361151093
220,7-33,2710.7945653233596
221,7-34,3736.8372255516606
222,7-35,2654.9287840173015
223,7-36,3308.6173032531215
224,8-9,405.6722437571693
225,8-10,521.4994133735596
226,8-11,655.069926894733
227,8-12,668.2202367910711
228,8-13,492.9667693147189
229,8-14,221.96233348299032
230,8-15,706.7638619936358
231,8-16,850.4578444783
232,8-17,889.077672085506
233,8-18,618.1179059908441
234,8-19,764.3525525817889
235,8-20,776.4941540682237
236,8-21,915.9508817780198
237,8-22,1054.3867866532926
238,8-23,420.29957216440096
239,8-24,749.3806175703163
240,8-25,1062.1262825561776
241,8-26,973.6450581197023
242,8-27,1568.2865886239038
243,8-28,1466.0753670247677
244,8-29,1161.4841530289693
245,8-30,1637.782680129243
246,8-31,2573.647809508066
247,8-32,3812.8447418989695
248,8-33,2574.209269521517
249,8-34,3429.8108914018753
250,8-35,2464.087725228411
251,8-36,3430.436565429262
252,9-10,224.6197891740321
253,9-11,561.6455044481814
254,9-12,659.8212730798114
255,9-13,831.9414530820053
256,9-14,611.5051793990486
257,9-15,563.798810627122
258,9-16,467.681473315373
259,9-17,483.43383705238944
260,9-18,298.5920704169139
261,9-19,592.7514392053985
262,9-20,778.1841218695338
263,9-21,954.471398595355
264,9-22,1113.5438420774065
265,9-23,805.5646164916811
266,9-24,1136.3069125903119
267,9-25,656.9584367362368
268,9-26,576.7929213419222
269,9-27,1171.9287957034746
270,9-28,1195.3099245493472
271,9-29,1034.4851093792417
272,9-30,1626.5837168175779
273,9-31,2619.345802909689
274,9-32,4189.576617941908
275,9-33,2935.019678899715
276,9-34,3456.922630265119
277,9-35,2120.0589542433772
278,9-36,3092.2945238169123
279,10-11,369.48800315385097
280,10-12,492.531875152402
281,10-13,837.194503369712
282,10-14,743.2341789509682
283,10-15,778.3338471003005
284,10-16,546.8074287871285
285,10-17,468.6472994982394
286,10-18,96.61909975359653
287,10-19,373.6286817442139
288,10-20,603.9141907543141
289,10-21,783.9386421337038
290,10-22,944.2100950510387
291,10-23,941.7317122146374
292,10-24,1270.590548259861
293,10-25,638.5897970350554
294,10-26,488.82859651947655
295,10-27,1177.9886060297072
296,10-28,982.3953711457068
297,10-29,814.5450664678154
298,10-30,1423.9028484800253
299,10-31,2425.5525561214045
300,10-32,4185.742360066135
301,10-33,3094.0284013763667
302,10-34,3677.6578542190337
303,10-35,2194.7809611030507
304,10-36,2914.1432987875805
305,11-12,146.4368363888996
306,11-13,725.2226334048963
307,11-14,852.7444136465413
308,11-15,1124.6616683657357
309,11-16,904.7556038744218
310,11-17,786.4237853465704
311,11-18,376.50852686799755
312,11-19,149.6881676556936
313,11-20,239.8223858398839
314,11-21,418.78817765011803
315,11-22,578.1289120030273
316,11-23,1033.4867304811494
317,11-24,1333.1128710032715
318,11-25,935.8323911426098
319,11-26,737.986062005917
320,11-27,1467.525819807286
321,11-28,858.4940655948456
322,11-29,509.2031177663253
323,11-30,1065.0318824328251
324,11-31,2059.890619369634
325,11-32,3965.0655424491415
326,11-33,3162.065508522733
327,11-34,4004.9821934170177
328,11-35,2525.6771745111855
329,11-36,2861.1153269271335
330,12-13,635.168633990392
331,12-14,842.4682431001072
332,12-15,1213.879349562801
333,12-16,1036.889425977579
334,12-17,928.2679347315282
335,12-18,513.9678264813763
336,12-19,277.0289968461261
337,12-20,119.46926603786224
338,12-21,295.07158093699724
339,12-22,454.978563694417
340,12-23,1008.2004422722193
341,12-24,1288.2355867375038
342,12-25,1080.5321555485798
343,12-26,884.2838381500752
344,12-27,1613.4795437781786
345,12-28,940.8229942092329
346,12-29,512.9349137601903
347,12-30,987.2631232395775
348,12-31,1963.9612903605762
349,12-32,3825.1767529676017
350,12-33,3103.8802378937426
351,12-34,4069.1637292770038
352,12-35,2667.960466207002
353,12-36,2945.4052525401385
354,13-14,473.59816792709023
355,13-15,1196.75070635423
356,13-16,1299.4824441091355
357,13-17,1289.3527798320595
358,13-18,919.2958315796118
359,13-19,874.2416133181316
360,13-20,682.6506377882439
361,13-21,729.5548020742234
362,13-22,810.081697581133
363,13-23,528.3571446590182
364,13-24,712.6012482740202
365,13-25,1464.372739863671
366,13-26,1325.7728147319988
367,13-27,1995.9405761080118
368,13-28,1574.5038560666176
369,13-29,1124.8657536277128
370,13-30,1406.2337942570955
371,13-31,2240.8979859620827
372,13-32,3360.025419076901
373,13-33,2482.63646924148
374,13-34,3789.971534800751
375,13-35,2942.5653099021583
376,13-36,3579.6500447979665
377,14-15,776.3192005622316
378,14-16,1027.5249572184796
379,14-17,1090.420387464953
380,14-18,839.8468309645556
381,14-19,972.6731262018499
382,14-20,939.952512043147
383,14-21,1057.339131423036
384,14-22,1180.164806100946
385,14-23,198.54913028738116
386,14-24,528.9128146073684
387,14-25,1260.067077685663
388,14-26,1186.6494393996174
389,14-27,1748.84738827806
390,14-28,1681.7480107994952
391,14-29,1349.9374616194837
392,14-30,1777.2153964383135
393,14-31,2675.8836114631995
394,14-32,3674.498072710426
395,14-33,2352.3871390427103
396,14-34,3332.412783246443
397,14-35,2592.731639213357
398,14-36,3651.7939113714383
399,15-16,533.7883926026589
400,15-17,722.8334712477393
401,15-18,828.0887484587971
402,15-19,1151.8795602964622
403,15-20,1333.2952586585657
404,15-21,1505.0698074460447
405,15-22,1661.3442320161755
406,15-23,892.0390467173469
407,15-24,1159.182578861249
408,15-25,821.5508506621658
409,15-26,895.5588918018232
410,15-27,1148.1157191945258
411,15-28,1679.6743200159594
412,15-29,1592.7665034134773
413,15-30,2189.6336736781263
414,15-31,3177.7268175745376
415,15-32,4439.098823395713
416,15-33,2762.048168507482
417,15-34,2902.0302124021255
418,15-35,1837.377826017453
419,15-36,3435.2026259204504
420,16-17,210.0267560006735
421,16-18,529.6286478256668
422,16-19,862.1130076989435
423,16-20,1143.9853083771613
424,16-21,1323.5036273693897
425,16-22,1482.8164106786376
426,16-23,1204.263655340433
427,16-24,1522.7106054068045
428,16-25,289.05487003433063
429,16-26,387.68387981869614
430,16-27,721.3401217976881
431,16-28,1216.5215814194394
432,16-29,1263.5274570926128
433,16-30,1915.5132633655508
434,16-31,2926.2953550293573
435,16-32,4655.217455160485
436,16-33,3245.7243992371573
437,16-34,3332.7571824225665
438,16-35,1658.8515936825775
439,16-36,2901.674028397685
440,17-18,416.97828422981974
441,17-19,716.0815665935114
442,17-20,1024.7652878411363
443,17-21,1200.319190195589
444,17-22,1356.0741059878874
445,17-23,1280.1024497064102
446,17-24,1608.1254090105274
447,17-25,175.5661223816333
448,17-26,178.19429222627656
449,17-27,710.3562786267454
450,17-28,1007.5363054170505
451,17-29,1087.9150326238084
452,17-30,1748.4663823824103
453,17-31,2759.2470483182833
454,17-32,4647.315766185542
455,17-33,3375.376504197167
456,17-34,3542.508462584227
457,17-35,1739.6940625694733
458,17-36,2718.811065507787
459,18-19,341.60256961163583
460,18-20,616.317419846613
461,18-21,795.0609879253591
462,18-22,953.810697866014
463,18-23,1038.348743643355
464,18-24,1367.170721636808
465,18-25,578.2886265770154
466,18-26,409.26801950599963
467,18-27,1117.7928070044522
468,18-28,897.2611226431683
469,18-29,771.7904052217161
470,18-30,1401.7395751259965
471,18-31,2409.166411313212
472,18-32,4258.013322399178
473,18-33,3190.422171590094
474,18-34,3730.091193994986
475,18-35,2155.4144218531833
476,18-36,2818.6410026794756
477,19-20,333.2279004833845
478,19-21,494.96282944093974
479,19-22,644.9164535627648
480,19-23,1159.7530090379535
481,19-24,1467.2398555041934
482,19-25,849.3584972537016
483,19-26,639.0673197572045
484,19-27,1368.317782352475
485,19-28,717.9779878361838
486,19-29,441.7578058031616
487,19-30,1060.1554302251532
488,19-31,2068.196038146963
489,19-32,4101.749070405535
490,19-33,3299.3897802116767
491,19-34,4049.601408825647
492,19-35,2443.889019147479
493,19-36,2716.570229719298
494,20-21,180.05248452372302
495,20-22,340.2967274025127
496,20-23,1096.7452890049074
497,20-24,1362.9933116751906
498,20-25,1170.417744543306
499,20-26,966.6109128619488
500,20-27,1697.1707260685607
501,20-28,920.3338487090562
502,20-29,442.3888808619895
503,20-30,869.8527335850096
504,20-31,1844.5043207875538
505,20-32,3783.977937623033
506,20-33,3164.040118460115
507,20-34,4186.2577639076435
508,20-35,2762.8802769696485
509,20-36,2916.463586709098
510,21-22,160.34407733270203
511,21-23,1196.3959890238834
512,21-24,1436.0545223507172
513,21-25,1341.9070772797652
514,21-26,1133.879651864954
515,21-27,1863.2434045361501
516,21-28,979.5126109898516
517,21-29,447.82590099858857
518,21-30,722.5957450247913
519,21-31,1675.6865696655054
520,21-32,3672.0159249457815
521,21-33,3203.199799486968
522,21-34,4340.828181486004
523,21-35,2936.0203215787487
524,21-36,2944.8119964166876
525,22-23,1305.3652122820827
526,22-24,1522.6806972542975
527,22-25,1494.171656108453
528,22-26,1283.2484071656522
529,22-27,2010.344407547954
530,22-28,1048.8594647668629
531,22-29,502.6159675215639
532,22-30,600.8537720193181
533,22-31,1524.5871594857717
534,22-32,3583.44918097032
535,22-33,3253.4803696622635
536,22-34,4483.717361774133
537,22-35,3088.7335234493917
538,22-36,2971.4082168124687
539,23-24,331.2493631407157
540,23-25,1447.3110121081284
541,23-26,1382.0083572476394
542,23-27,1923.7571311808983
543,23-28,1873.0654864782548
544,23-29,1520.382841426473
545,23-30,1906.1785439865557
546,23-31,2768.4154853864684
547,23-32,3547.7855938313082
548,23-33,2154.9379533313445
549,23-34,3267.5746682856166
550,23-35,2727.3320029266206
551,23-36,3848.625109421527
552,24-25,1773.3918577408617
553,24-26,1712.9661805112862
554,24-27,2237.9569670657843
555,24-28,2184.6003373171743
556,24-29,1799.7220856572649
557,24-30,2117.7781420304223
558,24-31,2912.6573432810555
559,24-32,3320.610106139995
560,24-33,1833.924470558067
561,24-34,3223.2596911888336
562,24-35,2992.2951042253094
563,24-36,4170.556192594325
564,25-26,220.8097488432817
565,25-27,540.0053524678278
566,25-28,1021.3996897445403
567,25-29,1184.2072791400412
568,25-30,1849.0756098738516
569,25-31,2855.9191870030154
570,25-32,4821.405829649667
571,25-33,3524.1944299954093
572,25-34,3558.6541394950104
573,25-35,1594.5619292924441
574,25-36,2616.28791155544
575,26-27,730.5823571096787
576,26-28,834.3152628168738
577,26-29,963.4566603245046
578,26-30,1628.294279198944
579,26-31,2635.4811394171948
580,26-32,4666.799450135492
581,26-33,3504.879471020268
582,26-34,3718.661384150558
583,26-35,1807.9056241564047
584,26-36,2557.709182713127
585,27-28,1345.666871680913
586,27-29,1647.8012893427824
587,27-30,2304.8542918818157
588,27-31,3293.127155049041
589,27-32,5355.690322736199
590,27-33,3910.107976960258
591,27-34,3510.9790747373895
592,27-35,1102.1445174995388
593,27-36,2501.8929801616628
594,28-29,546.335374064867
595,28-30,1058.2557890992093
596,28-31,1982.6319595744137
597,28-32,4631.3250477282545
598,28-33,4017.310345919615
599,28-34,4548.641218940737
600,28-35,2430.401216611146
601,28-36,2005.168319112299
602,29-30,664.9240845070917
603,29-31,1672.9412755508179
604,29-32,4085.1894545171267
605,29-33,3606.3691732695243
606,29-34,4491.359128670251
607,29-35,2748.4632062481496
608,29-36,2497.515456743122
609,30-31,1011.175353976117
610,30-32,3763.3069126662313
611,30-33,3806.4181458534836
612,30-34,5056.109864224924
613,30-35,3406.9186717450107
614,30-36,2679.416761233415
615,31-32,3592.5684951723915
616,31-33,4393.967885298064
617,31-34,6002.112121336352
618,31-35,4393.63154387956
619,31-36,3108.787926427624
620,32-33,3016.415237948012
621,32-34,6023.046332437159
622,32-35,6267.217538076652
623,32-36,6441.986950733598
624,33-34,3107.0854365345635
625,33-35,4394.014858856516
626,33-36,6003.335103642757
627,34-35,3107.0246379464757
628,34-36,6002.18770218389
629,35-36,3106.311507993397
